#x,action
-52.083333333333336,6.0
-50.0,6.0
-47.916666666666664,6.0
-45.833333333333329,6.0
-43.749999999999993,6.0
-41.666666666666657,6.0
-39.583333333333321,6.0
-37.499999999999986,6.0
-35.41666666666665,6.0
-33.333333333333314,6.0
-31.249999999999982,6.0
-29.16666666666665,6.0
-27.083333333333318,6.0
-24.999999999999986,6.0
-22.916666666666654,6.0
-20.833333333333321,6.0
-18.749999999999989,6.0
-16.666666666666657,6.0
-14.583333333333323,6.0
-12.499999999999989,6.0
-10.416666666666655,6.0
-8.3333333333333215,6.0
-6.2499999999999876,6.0
-4.1666666666666536,6.0
-2.0833333333333202,6.0
1.3322676295501878e-14,6.0
2.0833333333333468,6.0
4.1666666666666803,6.0
6.2500000000000142,6.0
8.3333333333333481,6.0
10.416666666666682,6.0
12.500000000000016,6.0
14.58333333333335,6.0
16.666666666666682,6.0
18.750000000000014,6.0
20.833333333333346,6.0
22.916666666666679,6.0
25.000000000000011,5.5
27.083333333333343,5.5
29.166666666666675,5.0
31.250000000000007,5.0
33.333333333333343,5.0
35.416666666666679,5.0
37.500000000000014,5.0
39.58333333333335,5.0
41.666666666666686,4.5
43.750000000000021,5.0
45.833333333333357,5.0
47.916666666666693,5.0
50.000000000000028,5.0
